Category 3: Potentially Mappable Clinical Page Targets
Format: page | label | target
post-operative-wound-infection | Patients with signs of infection 48 HOURS OR MORE after procedure | orzid2-gmenu-surg-48hrs-after-proc
prev-of-bact-endocarditis | Patients undergoing procedures on the respiratory tract that involve incision or | orzid2-gmenu-surg-head-and-neck-surg
prevention-of-infection | Before dental procedures | orzid2-gmenu-prev-pros-joint-dental
prevention-of-infection | Before procedures involving infected skin, skin structures or musculoskeletal | orzid2-gmenu-abx-derm-ie-ji-prophylaxis
prevention-of-infection | Antiviral prophylaxis | orzid2-gmenu-antiviral-prophylaxis-malignancy
pros-b-j-enterococci | Linezolid 600 mg PO BID \($\) DI,O | zzpsozid-linezolid-600mg-po-bid
recommended-immunizations | Chickenpox (Varivax, VAR) | orzid3-gmenu-abx-var-vaccine-information-page
recommended-immunizations | Diphtheria (Tenivac, Td / Boostrix, Tdap) | orzid3-gmenu-abx-tdap-vaccine-information-page
recommended-immunizations | Haemophilus influenzae type b (Hiberix, Hib) | orzid3-gmenu-abx-hib-vaccine-information-page
recommended-immunizations | Hepatitis A (Havrix, HepA) | orzid3-gmenu-abx-hepa-vaccine-information-page
recommended-immunizations | Hepatitis A and Hepatitis B (Twinrix, HepA/B) | orzid3-gmenu-abx-hepahepb-vaccine-information-page
recommended-immunizations | Herpes zoster (Shingrix, RZV) | orzid3-gmenu-abx-zoster-vaccine-information-page
recommended-immunizations | Human papillomavirus (Gardasil 9, HPV) | orzid3-gmenu-abx-hpv-vaccination-information-page
recommended-immunizations | Measles (M-M-R II, MMR) | orzid3-gmenu-abx-mmr-vaccine-information-page
recommended-immunizations | Meningococcal serogroups A, C, W and Y (Menveo, MenACWY) | orzid3-gmenu-abx-menacwy-vaccine-information-page
recommended-immunizations | Meningococcal serogroup B (Bexsero, MenB) | orzid3-gmenu-abx-menb-vaccine-information-page
recommended-immunizations | Pneumococcus (PCV20, Prevnar20) | orzid3-gmenu-abx-pneumococcal-vaccine-information-page
recommended-immunizations | Rabies (Imovax) - for post-exposure prophylaxis, refer to ED Antimicrobial CDSS | orzid3-gmenu-abx-rabies-pre-exposure-prophylaxis
recommended-immunizations | Bone Marrow Transplant, hematopoietic stem cell transplant (HSCT) | orzid3-gmenu-abx-bone-marrow-post-transplant-vaccinations
recommended-immunizations | Chronic Liver Disease | orzid3-gmenu-abx-immunization-in-chronic-liver-disease
recommended-immunizations | Health Care Personnel | orzid3-gmenu-abx-immunization-in-health-care-personnel
recommended-immunizations | Heart/Lung Disease or Alcoholism | orzid3-gmenu-abx-immunization-heart-lung-disease-alcoholism
recommended-immunizations | Immunocompromised (not including HIV and HSCT) | orzid3-gmenu-abx-immunization-of-immunocompromised-pts
recommended-immunizations | Kidney Failure or on Hemodialysis | orzid3-gmenu-abx-immunization-in-kidney-failure-hd
recommended-immunizations | Men who Have Sex with Men | orzid3-gmenu-abx-immunization-in-men-who-have-sex-with-men
sepsis-and-shock | Sepsis antimicrobial treatment recommendations | orzid2-gmenu-sepsis-protocol-antimicrobials
septic-arth-enterococci | References | orzid2-gmenu-abx-references
sexually-transmitted-infection | HIV Post-Exposure Prophylaxis Non-Occupational (Blood/Body Fluids) Outpatient | orzid3-gmenu-abx-pep-non-occup-main-page
sexually-transmitted-infection | HIV Post-Exposure Prophylaxis Occupational (Blood/Body Fluids) Outpatient | orzid3-gmenu-abx-pep-occupational-exposure
staph-toxic-shock-syndrome | References | orzid2-gmenu-abx-references
strep-toxic-shock-syndrome | References | orzid2-gmenu-abx-references
surg-interventional-radiology | Cefazolin Weight Based Dosing Preop \($\)R | orzid2-gmenu-surg-cefazolin-ir-weight-based-dosing
surg-interventional-radiology | Vancomycin 15mg/kg Weight Based Dosing Preop R | orzid2-gmenu-surg-vancomycin-weight-based-dosing
surg-vascular-surg-postop | Cefazolin Weight Based Dosing q8h x2 doses postop | orzid2-gmenu-surg-cefazolin-wt-based-postop-doses-x2
surg-vascular-surg-postop | Vancomycin 15mg/kg Dosing q12h x1 dose postop | orzid2-gmenu-surg-vancomycin-post-op-specific-dosing
surg-vascular-surg-postop | References | orzid2-gmenu-abx-references
surgical-post-op-antimicrobial-prophylaxis | CIED Surgery Post-op Prophylaxis | orzid2-gmenu-surg-cied-postop
surgical-post-op-antimicrobial-prophylaxis | Thoracic Surgery Post-op Prophylaxis | orzid2-gmenu-surg-thoracic-postop
surgical-post-op-antimicrobial-prophylaxis | Urology Surgery Post-op Prophylaxis | orzid2-gmenu-surg-urology-postop
surgical-pre-op-antibiotics | Surgical prophylaxis general information | ORZID2 GMENU SURG PROPHYL GENRL INFO
surgical-pre-op-antibiotics | Surgical wound classification and prophylaxis recommendations | ORZID2 GMENU SURG WND CLASS PROPHYL REC
surgical-pre-op-antibiotics | Timing of prophylactic antibiotics | ORZID2 GMENU SURG TIMING DOSING PROPHYL ABX
surgical-pre-op-antibiotics | CHART: Redosing Interval for Normal and ESRD renal function | ORZID2 GMENU SURG ANTIBIOTIC RENAL REDOSING
surgical-pre-op-antibiotics | Neurosurgery | ORZID2 GMENU SURG NEUROSURGERY
surgical-pre-op-antibiotics | Head and neck surgery (See Thoracic for esophageal procedures) | ORZID2 GMENU SURG HEAD AND NECK SURG
surgical-pre-op-antibiotics | Ophthalmology Surgery- Moxifloxacin Intracameral for Cataract Surgery | ORZID2 GMENU SURG OPHTHALMIC SURG
surgical-pre-op-antibiotics | Cardiac Procedures | ORZID2 GMENU SURG CARDIAC SURG
surgical-pre-op-antibiotics | Cardiac Implantable Electronic Devices Surgery | ORZID2 GMENU SURG CIED PREOP
surgical-pre-op-antibiotics | Thoracic surgery (See CV surgery for heart) | ORZID2 GMENU SURG THORACIC SURGERY
surgical-pre-op-antibiotics | Cardiovascular surgery decolonization | ORZID3 GMENU ABX CARD SURGERY DECOLON
surgical-pre-op-antibiotics | Gastroduodenal surgery | ORZID2 GMENU SURG GASTRODUODENAL SURG
surgical-pre-op-antibiotics | GI Endoscopic Procedures | ORZID2 GMENU GI ENDOSCOPIC PROCEDURES
surgical-pre-op-antibiotics | Vascular surgery | ORZID2 GMENU SURG VASCULAR SURG
surgical-pre-op-antibiotics | Biliary surgery | ORZID2 GMENU SURG BILIARY
surgical-pre-op-antibiotics | Colon and rectal surgery | ORZID2 GMENU SURG COLON AND RECTAL SURG
surgical-pre-op-antibiotics | Hernia repair surgery with abdominal mesh | ORZID2 GMENU SURG HERNIA REPAIR
surgical-pre-op-antibiotics | Gynecological surgery | ORZID2 GMENU SURG GYNECOL SURG
surgical-pre-op-antibiotics | Urological Procedures | ORZID2 GMENU SURG UROLOGY PREOP
surgical-pre-op-antibiotics | Orthopedic surgery,including joint arthroplasty | ORZID2 GMENU SURG ORTHO SURG JOINT ARTHRO
surgical-pre-op-antibiotics | Other procedures | ORZID2 GMENU SURG OTHER PROCEDURES
surgical-pre-op-antibiotics | Pain Clinic-Spinal Cord Stim Trial | ORZID2 GMENU SURG SPINAL CORD STIMULATOR TRIAL
syphilis | Syphilis antibody test with reflex to rapid plasma reagin \(RPR\) | lrtz-syphilis-ab-w-reflex-to-rpr-w-titer
system-infectious-diseases | Enterococci | orzid2-gmenu-intravas-cath-enterococcus
system-infectious-diseases | Fever of unknown origin | orzid2-gmenu-fever-of-unk-origin
system-infectious-diseases | Leukocytosis | orzid2-gmenu-leukocytosis
typhlitis | Clostridioides difficile infection | orzid2-gmenu-abx-assoc-colitis
viruses | Pre-Exposure Prophylaxis | orzid3-gmenu-abx-rabies-pre-exposure-prophylaxis
